Month,Day,Theme,Verse Reference,Month,Day,Theme,Verse Reference
Jan,1,Hope/Newness,Lamentations 3:22-23,Jul,1,Freedom/Light,John 8:36
,2,Newness,Isaiah 43:18-19,,2,Freedom/Light,2 Corinthians 3:17
,3,Provision,Philippians 4:19,,3,Freedom/Light,Romans 6:22
,4,Strength,Isaiah 41:10,,4,Freedom/Light,Galatians 5:1
,5,Hope,Romans 15:13,,5,Freedom/Light,Psalm 119:45
,6,Joy,Psalm 90:14,,6,Freedom/Light,Psalm 23:4
,7,New Life,2 Corinthians 5:17,,7,Freedom/Light,John 1:5
,8,Hope,Romans 12:12,,8,Forgiveness,Psalm 37:6
,9,Trust,Proverbs 3:5-6,,9,Forgiveness,1 John 2:10
,10,Trust,Hebrews 13:8,,10,Forgiveness,John 12:36
,11,Goodness,James 1:17,,11,Forgiveness,Matthew 6:14-15
,12,Trust,Psalm 33:20-22,,12,Forgiveness,1 John 1:9
,13,Trust,Psalm 147:11,,13,Forgiveness,Psalm 32:5
,14,Strength,Isaiah 40:31,,14,Forgiveness,Micah 7:18-19
,15,Plans,Jeremiah 29:11,,15,Forgiveness,Hebrews 8:12
,16,Plans,Romans 8:28,,16,Forgiveness,Isaiah 55:7
,17,Strength,1 Corinthians 16:13,,17,Forgiveness,Psalm 85:2
,18,Joy,Psalm 118:24,,18,Forgiveness,Acts 3:19
,19,Presence,Deuteronomy 31:6,,19,Forgiveness,2 Samuel 12:13
,20,Provision,Matthew 6:33,,20,Forgiveness,Colossians 2:13-14
,21,Peace,Psalm 4:8,,21,Forgiveness,Mark 11:25
,22,Guidance,Colossians 3:17,,22,Forgiveness,Colossians 3:13
,23,Peace,1 Peter 5:7,,23,Forgiveness,Ephesians 4:32
,24,Protection,Psalm 121:7-8,,24,Light/Works,Matthew 5:16
,25,Identity,Psalm 139:13-14,,25,Light/Works,1 John 1:7
,26,Life,John 10:10,,26,Light/Works,Psalm 119:130
,27,Joy,Galatians 5:22-23,,27,Light/Works,John 12:46
,28,Power,Ephesians 3:20,,28,Light/Works,Matthew 5:14
,29,Gratitude,1 Thess. 5:16-18,,29,Light/Works,Psalm 112:4
,30,Joy,Psalm 16:11,,30,Light/Works,Proverbs 4:18
,31,Peace,Isaiah 26:3,,31,Light/Works,Isaiah 9:2
Feb,1,Love,1 John 4:18,Aug,1,Rest/Peace,Psalm 23:2
,2,Love,John 3:16,,2,Rest/Peace,Matthew 6:34
,3,Love,Romans 5:5,,3,Rest/Peace,Philippians 4:6-7
,4,Love/Action,1 Corinthians 16:14,,4,Rest/Peace,Isaiah 32:17
,5,Love,Zephaniah 3:17,,5,Rest/Peace,Psalm 29:11
,6,Love,Psalm 36:7,,6,Rest/Peace,Romans 8:6
,7,Love,Isaiah 54:10,,7,Rest/Peace,Isaiah 57:19
,8,Love,Psalm 86:15,,8,Peace,John 14:27
,9,Identity,1 John 3:1,,9,Protection,Psalm 4:8
,10,Love,Ephesians 3:17-19,,10,Rest,Psalm 107:29
,11,Strength,Romans 8:31,,11,Rest,Psalm 37:7
,12,Love,Psalm 103:2-5,,12,Provision,2 Corinthians 9:8
,13,Love,Psalm 68:19,,13,Provision,Psalm 34:10
,14,Love,1 John 4:10,,14,Provision,Philippians 4:19
,15,Love,John 15:13,,15,Provision,Hebrews 13:5
,16,Love/Action,John 13:34-35,,16,Provision,Psalm 37:25
,17,Comfort,2 Corinthians 1:3-4,,17,Provision,Psalm 145:15-16
,18,Comfort,Isaiah 43:2,,18,Provision,Proverbs 10:22
,19,Strength,Hebrews 12:1-2,,19,Provision,Psalm 24:1
,20,Strength,Psalm 29:11,,20,Provision,Luke 12:24
,21,Blessing,Psalm 84:11,,21,Provision,Matthew 6:26
,22,Peace,John 14:1,,22,Provision,Psalm 107:9
,23,Strength,Psalm 73:26,,23,Prayer,Matthew 7:7-8
,24,Strength,Ephesians 6:10,,24,Protection,Psalm 9:9-10
,25,Hope,Psalm 130:5,,25,Protection,Psalm 55:22
,26,Rest,Matthew 11:28,,26,Protection,Psalm 62:1
,27,Grace,Hebrews 4:16,,27,Protection,Matthew 11:29-30
,28,Protection,Psalm 91:4,,28,Protection,Psalm 57:1
,29,Protection,Psalm 91:1-2,,29,Protection,Psalm 125:1
Mar,1,Victory,John 16:33,,30,Protection,Psalm 71:3
,2,Victory,Romans 8:37,,31,Protection,Isaiah 48:18
,3,Victory,1 John 5:4,Sep,1,Prayer,James 5:16
,4,Victory,2 Timothy 4:18,,2,Prayer,Matthew 21:22
,5,Victory,Deuteronomy 20:4,,3,Prayer,1 Timothy 2:1
,6,Victory,1 Corinthians 10:13,,4,Prayer,Matthew 7:11
,7,Victory,Philippians 4:13,,5,Prayer,Romans 8:26
,8,Victory,1 Samuel 17:47,,6,Prayer,Luke 18:1
,9,Victory,Psalm 144:1,,7,Prayer,Philippians 4:6
